variable,label,decision,registered,missing,section
CEM,Nombre del CEM,Indicador agregado,120168,0,ingreso
N_FICHA_N,Número de ficha numérico,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_A,Número de ficha alfabético,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CONDICION,Condición del caso,Indicador agregado,120168,0,ingreso
FECHA_INGRESO,Fecha de ingreso del caso,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TURNO_INGRESO,Turno del profesional que labora en el CEM,Indicador agregado,120168,0,ingreso
HORA_INGRESO,Hora de ingreso del caso,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CEM_USUARIA,¿La persona está registrada como usuaria en algún CEM?,Indicador agregado,120168,0,ingreso
NOMBRE_CEM_USUARIA,Nombre del CEM donde la persona usuaria se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_N_CEM_USUARIA,Número de ficha numérico del CEM donde la persona usuaria se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_A_CEM_USUARIA,Número de ficha alfabético del CEM donde la persona usuaria se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_CEM_USUARIA,Año de la ficha del CEM donde la persona usuaria se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CEM_AGRESOR,¿La persona está registrada como presunta agresora en algún CEM?,Indicador agregado,120168,0,agresor
NOMBRE_CEM_AGRESOR,Nombre del CEM donde la presunta persona agresora se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_N_CEM_AGRESOR,Número de ficha numérico del CEM donde la presunta persona agresora se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_A_CEM_AGRESOR,Número de ficha alfabético del CEM donde la presunta persona agresora se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_CEM_AGRESOR,Año de la ficha del CEM donde la presunta persona agresora se encuentra registrada,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DPTO_OCURRENCIA,Código UBIGEO del departamento de ocurrencia del hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROV_OCURRENCIA,Código UBIGEO de la provincia de ocurrencia del hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_OCURRENCIA,Código UBIGEO del distrito de ocurrencia del hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CCPP_OCURRENCIA,Código UBIGEO del centro poblado de ocurrencia del hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CEM_DERIVADO,¿El caso es derivado a otro CEM?,Indicador agregado,120168,0,ingreso
NOMBRE_CEM_DERIVADO,Nombre del CEM a derivar el caso,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_N_CEM_DERIVADO,Número de ficha numérico del CEM receptor,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_A_CEM_DERIVADO,Número de ficha alfabético del CEM receptor,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_CEM_DERIVADO,Año de la ficha del CEM receptor,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ACUDE_SOLA,La persona usuaria en el momento de la apertura de la ficha ¿Acude sola al CEM?,Indicador agregado,120168,0,ingreso
INFORMANTE,¿La persona informante es la misma persona usuaria?,Indicador agregado,120168,0,ingreso
INFORMANTE_SEXO,Sexo de la persona informante,Indicador agregado,41145,79023,ingreso
INFORMANTE_EDAD,Edad de la persona informante (En años cumplidos),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INFORMANTE_VINCULO,Vinculo relacional que tiene la persona informante con la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INFORMANTE_TIPO_VIA_DOMICILIO,Tipo de vía del domicilio de la persona informante,Indicador agregado,39194,80974,ingreso
INFORMANTE_AREA_RESIDENCIA,Área de residencia de la persona informante,Indicador agregado,38631,81537,ingreso
FORMA_INGRESO,Formas de Ingreso al Servicio,Indicador agregado,120168,0,ingreso
INTERPUSO_DENUNCIA,"¿La persona usuaria ha interpuesto denuncia por el último hecho de violencia, antes de la intervención del CEM?",Indicador agregado,120168,0,justicia
N_FICHA_NOTIFICACION,Número de ficha de notificación del caso,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_NOTIFICACION,Año de la ficha de notificación del caso,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_LINEA100,Número de ficha de Línea 100,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_LINEA100,Año de la ficha de Línea 100,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_CHAT100,Número de ficha del Chat 100,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_CHAT100,Año de la ficha del Chat 100,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
SEDE_SAU,Nombre de la sede del SAU,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_N_SAU,Número de ficha numérico de la sede del SAU,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_A_SAU,Número de ficha alfabético de la sede del SAU,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_SAU,Año de la ficha de la sede del SAU,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOMBRE_CAI,Nombre del CAI,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
